Date,Open,High,Low,Close,Volume
44410.3125,2715,2715,2715,2715,100
44410.35139,2715,2715,2715,2715,269
44410.39375,2711,2711,2711,2711,220
44410.39583,2709.69,2713.93,2709.69,2712.87,25091
44410.39653,2711.04,2712.115,2709.97,2709.97,3392
44410.39722,2710.5,2711.45,2708.33,2708.42,2089
44410.39792,2708.87,2712.7024,2706.55,2709.96,3096
44410.39861,2710.365,2710.375,2707.66,2708.17,700
44410.39931,2709.15,2709.36,2707.24,2708.75,1687
44410.4,2708.225,2709.49,2707.19,2709.49,2908
44410.40069,2711.34,2711.34,2709.7,2709.9,1472
44410.40139,2709.83,2711.095,2709.37,2709.53,1285
44410.40208,2710.055,2710.415,2709.76,2710.415,400
44410.40278,2709.605,2709.605,2704.2,2704.2,5433
44410.40347,2704.395,2705.62,2702.6816,2703.41,850
44410.40417,2703.28,2706.1,2703.01,2704.36,1954
44410.40486,2704.0874,2704.0874,2701.82,2702.5088,800
44410.40556,2700.94,2700.94,2696.14,2697.21,3385
44410.40625,2697.3,2697.94,2695.51,2696.136,2630
44410.40694,2698.05,2698.94,2698.05,2698.94,1038
44410.40764,2698.18,2698.875,2696.94,2697.61,2039
44410.40833,2698.035,2699.84,2696.9,2696.9,2474
44410.40903,2697.44,2698.72,2697.44,2698.72,415
44410.40972,2698.34,2698.34,2693.39,2693.39,1877
44410.41042,2694.04,2694.57,2693.5,2693.53,1600
44410.41181,2694.17,2695,2693.7854,2694.4,1242
44410.4125,2695.42,2699.71,2695.42,2699.71,900
44410.41319,2700.79,2700.79,2699.77,2700.66,1309
44410.41389,2698.84,2698.84,2698.36,2698.52,2431
44410.41458,2698.64,2699.825,2698.64,2699.825,300
44410.41528,2699.185,2699.3426,2698.59,2698.98,1100
44410.41597,2698.99,2700,2698.99,2700,800
44410.41667,2699.18,2700.93,2698.15,2700.88,2532
44410.41736,2701.45,2702.09,2700.04,2700.55,1423
44410.41806,2700.795,2701.01,2700.795,2701.01,200
44410.41875,2701.06,2701.655,2701.06,2701.655,469
44410.41944,2702.54,2702.54,2700.28,2700.28,969
44410.42014,2700.475,2700.475,2700.475,2700.475,100
44410.42083,2700.085,2700.085,2695.71,2695.71,700
44410.42153,2695.86,2696.01,2695.86,2696.01,200
44410.42222,2696.75,2698.42,2696.75,2696.9936,800
44410.42292,2698.6174,2698.6174,2698.6174,2698.6174,100
44410.42361,2700.4202,2701.36,2700.4202,2701.3,328
44410.42431,2702.27,2702.93,2701.64,2701.64,1286
44410.425,2703.61,2704.12,2703.61,2704.12,200
44410.42569,2703.6,2703.69,2703.19,2703.69,549
44410.42639,2703.48,2704.38,2703.48,2704.34,800
44410.42708,2704.6,2707.23,2704.6,2707.23,1123
44410.42778,2707.51,2708.35,2707.51,2708.22,850
44410.42847,2709.245,2709.245,2708.08,2708.215,1536
44410.42917,2708.19,2709.625,2708.19,2709.625,2848
44410.42986,2709.83,2709.83,2709.365,2709.365,300
44410.43056,2709.02,2709.02,2707.63,2707.63,1467
44410.43125,2707.915,2707.915,2706.74,2706.74,1097
44410.43194,2706.74,2706.74,2705.85,2705.85,425
44410.43264,2705.9,2706.89,2705.6,2706.89,800
44410.43333,2707.05,2707.62,2704.08,2704.08,1201
44410.43403,2706.53,2707.67,2706.165,2707.67,650
44410.43472,2707.1,2707.1,2705.969,2705.969,600
44410.43611,2705.26,2705.26,2701.79,2704.23,1240
44410.43681,2704.3,2704.3,2704.3,2704.3,350
44410.4375,2706.02,2706.3208,2705.97,2706.3208,621
44410.43819,2706.54,2706.54,2705.18,2705.18,626
44410.43889,2704.875,2704.875,2704.875,2704.875,100
44410.44028,2705.03,2705.5,2704.81,2704.81,818
44410.44097,2705.55,2705.55,2704.97,2704.97,400
44410.44167,2705.26,2705.26,2704.75,2704.75,400
44410.44236,2704.9788,2704.9788,2703.2788,2703.2788,915
44410.44306,2703.535,2703.535,2703.2,2703.2,300
44410.44444,2703.905,2705.35,2703.905,2705.095,635
44410.44514,2706.92,2706.92,2704.53,2704.53,450
44410.44583,2704.48,2705.0826,2704.48,2704.85,529
44410.44653,2704.6,2704.6,2703.215,2703.215,795
44410.44722,2703.85,2703.85,2702.17,2702.6,1235
44410.44792,2702.18,2702.33,2700.6,2700.82,1362
44410.44861,2701.5,2702.43,2701.0078,2702.43,925
44410.44931,2701.64,2701.64,2701.64,2701.64,100
44410.45,2702.25,2702.25,2702.25,2702.25,175
44410.45069,2702.25,2703.29,2702.2,2702.2,624
44410.45139,2702.83,2702.83,2701.76,2701.91,1000
44410.45208,2702.3,2702.3,2702.3,2702.3,100
44410.45278,2703.21,2703.21,2702.59,2702.97,600
44410.45347,2702.61,2703.13,2702.54,2703.13,500
44410.45417,2704.9912,2704.9912,2703.9924,2704.225,623
44410.45486,2704.225,2704.225,2703.51,2704.09,1457
44410.45556,2704.09,2704.845,2704.09,2704.845,300
44410.45625,2704.6,2704.76,2704.24,2704.76,400
44410.45764,2704.89,2706.78,2704.88,2706.78,645
44410.45833,2706.98,2707.08,2706.27,2707.08,836
44410.45903,2706.83,2707.54,2706.8,2707.54,800
44410.45972,2707.89,2708.2,2707.59,2708.2,806
44410.46042,2708.21,2709.11,2708.21,2709.1,813
44410.46111,2710.63,2711.06,2710.5,2711.06,400
44410.46181,2711.27,2712.87,2711.27,2712.01,2026
44410.4625,2712.69,2712.715,2712.01,2712.01,706
44410.46319,2711.28,2712,2711.28,2712,500
44410.46389,2713.31,2714.33,2713.23,2714.33,1000
